date,open,close
2012-06-15,12652.21,12767.17
2012-06-14,12497.89,12651.91
2012-06-13,12566.38,12496.38
2012-06-12,12412.07,12573.8
2012-06-11,12553.81,12411.23
2012-06-08,12460.81,12554.2
2012-06-07,12416.53,12460.96
2012-06-06,12125.0,12414.79
2012-06-05,12101.08,12127.95
2012-06-04,12119.85,12101.46
2012-06-01,12391.56,12118.57
2012-05-31,12414.41,12393.45
2012-05-30,12579.02,12419.86
2012-05-29,12454.83,12580.69
2012-05-25,12530.74,12454.83
2012-05-24,12491.91,12529.75
2012-05-23,12501.52,12496.15
2012-05-22,12505.38,12502.81
2012-05-21,12369.15,12504.48
2012-05-18,12443.02,12369.38
2012-05-17,12598.32,12442.49
2012-05-16,12617.32,12598.55
2012-05-15,12695.05,12632.0
2012-05-14,12818.49,12695.35
2012-05-11,12851.79,12820.6
2012-05-10,12831.58,12855.04
2012-05-09,12921.81,12835.06
2012-05-08,13000.73,12932.09
2012-05-07,13035.85,13008.53
2012-05-04,13204.62,13038.27
2012-05-03,13267.59,13206.59
2012-05-02,13278.11,13268.57
2012-05-01,13214.16,13279.32
2012-04-30,13228.31,13213.63
2012-04-27,13204.7,13228.31
2012-04-26,13090.11,13204.62
2012-04-25,12997.69,13090.72
2012-04-24,12927.77,13001.56
2012-04-23,13028.2,12927.17
2012-04-20,12964.48,13029.26
2012-04-19,13028.73,12964.1
2012-04-18,13114.56,13032.75
2012-04-17,12921.79,13115.54
2012-04-16,12850.88,12921.41
2012-04-13,12986.2,12849.59
2012-04-12,12806.45,12986.58
2012-04-11,12716.92,12805.39
2012-04-10,12929.44,12715.93
2012-04-09,13057.57,12929.59
2012-04-05,13067.18,13060.14
2012-04-04,13198.19,13074.75
2012-04-03,13258.96,13199.55
2012-04-02,13211.36,13264.49
2012-03-30,13147.94,13212.04
2012-03-29,13125.99,13145.82
2012-03-28,13195.39,13126.21
2012-03-27,13242.09,13197.73
2012-03-26,13082.62,13241.63
2012-03-23,13045.99,13080.73
2012-03-22,13124.4,13046.14
2012-03-21,13170.79,13124.62
2012-03-20,13238.45,13170.19
2012-03-19,13231.94,13239.13
2012-03-16,13253.51,13232.62
2012-03-15,13192.97,13252.76
2012-03-14,13177.15,13194.1
2012-03-13,12953.2,13177.68
2012-03-12,12920.58,12959.71
2012-03-09,12908.62,12922.02
2012-03-08,12835.53,12907.94
2012-03-07,12756.12,12837.33
2012-03-06,12958.65,12759.15
2012-03-05,12977.34,12962.81
2012-03-02,12980.75,12977.57
2012-03-01,12952.29,12980.3
2012-02-29,13005.42,12952.07
2012-02-28,12976.74,13005.12
2012-02-27,12981.13,12981.51
2012-02-24,12981.2,12982.95
2012-02-23,12937.08,12984.69
2012-02-22,12966.22,12938.67
2012-02-21,12949.34,12965.69
2012-02-17,12903.33,12949.87
2012-02-16,12779.81,12904.08
2012-02-15,12864.65,12780.95
2012-02-14,12871.77,12878.28
2012-02-13,12799.11,12874.04
2012-02-10,12889.55,12801.23
2012-02-09,12884.41,12890.46
2012-02-08,12865.79,12883.95
2012-02-07,12844.37,12878.2
2012-02-06,12860.72,12845.13
2012-02-03,12705.04,12862.23
2012-02-02,12716.54,12705.41
2012-02-01,12632.76,12716.46
2012-01-31,12654.78,12632.91
2012-01-30,12659.17,12653.72
2012-01-27,12733.95,12660.46
2012-01-26,12756.96,12734.63
2012-01-25,12673.63,12758.85
2012-01-24,12708.37,12675.75
2012-01-23,12720.25,12708.82
2012-01-20,12623.83,12720.48
2012-01-19,12578.19,12623.98
2012-01-18,12474.69,12578.95
2012-01-17,12423.12,12482.07
2012-01-13,12469.96,12422.06
2012-01-12,12449.91,12471.02
2012-01-11,12459.52,12449.45
2012-01-10,12394.51,12462.47
2012-01-09,12359.31,12392.69
2012-01-06,12407.45,12359.92
2012-01-05,12418.42,12415.7
2012-01-04,12392.46,12418.42
2012-01-03,12221.19,12397.38
